Community Area,Type of Service Request,Percentage of Total
54,Garbage Cart Black Maintenance/Replacement,0.0975085910652921
54,Graffiti Removal,0.015034364261168385
54,Abandoned Vehicle Complaint,0.03049828178694158
54,Street Light Out,0.17482817869415807
54,Tree Debris,0.15163230240549827
54,Rodent Baiting/Rat Complaint,0.01245704467353952
54,Tree Trim,0.08719931271477663
57,Pothole in Street,0.107058873829578
57,Garbage Cart Black Maintenance/Replacement,0.0444653469579717
57,Graffiti Removal,0.6804053187395784
57,Abandoned Vehicle Complaint,0.040018812262174526
57,Street Light Out,0.03736799350121852
57,Tree Debris,0.00808072170678524
57,Rodent Baiting/Rat Complaint,0.03574329813160033
57,Tree Trim,0.04685963487109325
30,Pothole in Street,0.09255781194975936
30,Garbage Cart Black Maintenance/Replacement,0.05599248738114802
30,Graffiti Removal,0.6840738349571546
30,Abandoned Vehicle Complaint,0.026455569902570725
30,Street Light Out,0.045985444300974294
30,Tree Debris,0.011254255194271628
30,Rodent Baiting/Rat Complaint,0.026969127831905155
30,Tree Trim,0.05671146848221622
51,Pothole in Street,0.2028264331210191
51,Garbage Cart Black Maintenance/Replacement,0.13899946921443737
51,Graffiti Removal,0.16268577494692144
51,Abandoned Vehicle Complaint,0.030453821656050956
51,Street Light Out,0.1726380042462845
51,Tree Debris,0.14742569002123143
51,Rodent Baiting/Rat Complaint,0.024217091295116774
51,Tree Trim,0.12075371549893843
36,Pothole in Street,0.23053120165033522
36,Garbage Cart Black Maintenance/Replacement,0.10056730273336771
36,Graffiti Removal,0.06034038164002063
36,Abandoned Vehicle Complaint,0.09231562661165549
36,Street Light Out,0.111397627643115
36,Tree Debris,0.05415162454873646
36,Rodent Baiting/Rat Complaint,0.04744713769984528
36,Tree Trim,0.30324909747292417
35,Pothole in Street,0.3286551785397051
35,Garbage Cart Black Maintenance/Replacement,0.08385148338958963
35,Graffiti Removal,0.08083140877598152
35,Abandoned Vehicle Complaint,0.06022384082430272
35,Street Light Out,0.13501510037306805
35,Tree Debris,0.03535263812400071
35,Rodent Baiting/Rat Complaint,0.05720376621069462
35,Tree Trim,0.21886658376265766
34,Pothole in Street,0.26346356916578667
34,Garbage Cart Black Maintenance/Replacement,0.07470960929250264
34,Graffiti Removal,0.32906546990496305
34,Abandoned Vehicle Complaint,0.046594508975712774
34,Street Light Out,0.12420802534318902
34,Tree Debris,0.006863780359028511
34,Rodent Baiting/Rat Complaint,0.04923442449841605
34,Tree Trim,0.10586061246040127
33,Pothole in Street,0.24010627884212
33,Garbage Cart Black Maintenance/Replacement,0.05663543560341211
33,Graffiti Removal,0.3283456859180534
33,Abandoned Vehicle Complaint,0.025730667039574884
33,Street Light Out,0.08600195776814432
33,Tree Debris,0.006712347923367361
33,Rodent Baiting/Rat Complaint,0.09649000139840581
33,Tree Trim,0.1599776255069221
55,Pothole in Street,0.20217539089055064
55,Garbage Cart Black Maintenance/Replacement,0.10061182868796736
55,Graffiti Removal,0.17199184228416042
55,Abandoned Vehicle Complaint,0.03657375934738273
55,Street Light Out,0.18422841604350781
55,Tree Debris,0.08728755948334466
55,Rodent Baiting/Rat Complaint,0.009925220938137322
55,Tree Trim,0.20720598232494902
74,Pothole in Street,0.2169555573810893
74,Garbage Cart Black Maintenance/Replacement,0.1870533147128892
74,Graffiti Removal,0.02275527807442701
74,Abandoned Vehicle Complaint,0.02489115255072702
74,Street Light Out,0.16709110326131602
74,Tree Debris,0.13571017826336976
74,Rodent Baiting/Rat Complaint,0.06046167748295408
74,Tree Trim,0.18508173827322763
37,Pothole in Street,0.25183887915936953
37,Garbage Cart Black Maintenance/Replacement,0.15376532399299475
37,Graffiti Removal,0.07950963222416813
37,Abandoned Vehicle Complaint,0.040630472854640984
37,Street Light Out,0.09912434325744308
37,Tree Debris,0.10577933450087566
37,Rodent Baiting/Rat Complaint,0.1415061295971979
37,Tree Trim,0.12784588441331
32,Pothole in Street,0.29180007597547075
32,Garbage Cart Black Maintenance/Replacement,0.0015737776089433983
32,Graffiti Removal,0.4946003147555218
32,Abandoned Vehicle Complaint,0.05562489824713735
32,Street Light Out,0.09301568350789602
32,Tree Debris,0.0034731643783578446
32,Rodent Baiting/Rat Complaint,0.05084929722689532
32,Tree Trim,0.0090627882997775
31,Pothole in Street,0.10026577503429356
31,Garbage Cart Black Maintenance/Replacement,0.04308127572016461
31,Graffiti Removal,0.7214720507544582
31,Abandoned Vehicle Complaint,0.03026406035665295
31,Street Light Out,0.04140946502057613
31,Tree Debris,0.005679869684499314
31,Rodent Baiting/Rat Complaint,0.01978309327846365
31,Tree Trim,0.03804441015089163
50,Pothole in Street,0.2502894635275955
50,Garbage Cart Black Maintenance/Replacement,0.15978386723272867
50,Graffiti Removal,0.040331918178309535
50,Abandoned Vehicle Complaint,0.06657661134697028
50,Street Light Out,0.13932844461597838
50,Tree Debris,0.14473176379776148
50,Rodent Baiting/Rat Complaint,0.029525279814743344
50,Tree Trim,0.16943265148591277
